project,name,commit,date,time,commitId,origin,branch
testing js (frontend),Bishal sarkar,test update js 22,2023-09-16,10:45:15 AM,fe7ae80b134c1cbfa58e81089d6c9c01972ceeab,https://github.com/bishalsarkar77730/Mainportfolio.git,main
testing py (backend),Bishal sarkar,tet update py 23,2023-09-16,10:46:49,845575e6ac3ec78cc01e8031d559124114cc39b0,https://github.com/bishalsarkar77730/Mainportfolio.git,main
